Ligand,RECRUITER_CODE,smiles_atom_index,smile_atom
1RH,LR00564,17,C
1RH,LR00564,18,C
1RH,LR00564,19,C
1RH,LR00564,20,C
1RH,LR00564,21,C
1RH,LR00564,22,C
1RH,LR00564,23,C
1RH,LR00564,24,C
1RH,LR00564,25,N
1RH,LR00564,26,C
1RH,LR00564,27,C
1RH,LR00564,28,C
1RH,LR00564,29,O
1RH,LR00564,30,C
1RH,LR00564,31,C
1RH,LR00564,32,C
1RH,LR00564,33,C
1RH,LR00564,34,C
1RH,LR00564,35,C
1RH,LR00564,36,C
1RH,LR00564,37,C
1RH,LR00564,38,C
1RH,LR00564,39,C
1RH,LR00564,40,O
1RK,LR00565,0,C
1RK,LR00565,1,N
1RK,LR00565,2,C
1RK,LR00565,3,C
1RK,LR00565,4,C
1RK,LR00565,5,O
1RK,LR00565,6,N
1RK,LR00565,7,C
1RK,LR00565,8,C
1RK,LR00565,9,O
1RK,LR00565,10,N
1RK,LR00565,11,C
1RK,LR00565,12,C
1RK,LR00565,13,C
1RK,LR00565,14,O
1RK,LR00565,15,C
1RK,LR00565,16,C
1RK,LR00565,17,C
1RK,LR00565,18,C
1RK,LR00565,19,C
1RK,LR00565,20,C
1RK,LR00565,21,C
1RK,LR00565,22,O
1RK,LR00565,23,O
1RK,LR00565,24,C
1RK,LR00565,25,C
1RK,LR00565,26,C
1RK,LR00565,27,C
1RK,LR00565,28,C
1RK,LR00565,29,C
1RK,LR00565,30,C
1RK,LR00565,31,C
1RK,LR00565,32,C
1RK,LR00565,33,O
1RK,LR00565,34,C
1RK,LR00565,35,C
1RK,LR00565,36,C
1RK,LR00565,37,O
1RK,LR00565,38,C
1RK,LR00565,39,C
1VW,LR00165,0,O
1VW,LR00165,1,C
1VW,LR00165,2,C
1VW,LR00165,3,C
1VW,LR00165,4,C
1VW,LR00165,5,C
1VW,LR00165,6,C
1VW,LR00165,7,C
1VW,LR00165,8,C
1VW,LR00165,9,O
1VW,LR00165,10,N
1VW,LR00165,11,C
1VW,LR00165,12,C
1VW,LR00165,13,C
1VW,LR00165,14,C
1VW,LR00165,15,C
1VW,LR00165,16,C
1VW,LR00165,17,C
1VW,LR00165,18,C
1VW,LR00165,19,C
1VW,LR00165,20,C
1VW,LR00165,21,N
1VW,LR00165,22,C
1VW,LR00165,23,O
1VW,LR00165,24,C
1VW,LR00165,25,C
1VW,LR00165,26,C
1VW,LR00165,27,C
1VW,LR00165,28,C
1VW,LR00165,29,C
1VW,LR00165,30,C
1VW,LR00165,31,N
1VW,LR00165,32,N
1VW,LR00165,33,N
1VW,LR00165,34,N
1VX,LR00166,0,C
1VX,LR00166,1,C
1VX,LR00166,2,C
1VX,LR00166,3,C
1VX,LR00166,4,C
1VX,LR00166,5,C
1VX,LR00166,6,C
1VX,LR00166,7,C
1VX,LR00166,8,C
1VX,LR00166,9,N
1VX,LR00166,10,C
1VX,LR00166,11,O
1VX,LR00166,12,C
1VX,LR00166,13,C
1VX,LR00166,14,C
1VX,LR00166,15,C
1VX,LR00166,16,C
1VX,LR00166,17,C
1VX,LR00166,18,C
1VX,LR00166,19,O
1VX,LR00166,20,O
1VX,LR00166,21,C
1VX,LR00166,22,C
1VX,LR00166,23,N
1VX,LR00166,24,C
1VX,LR00166,25,C
1VX,LR00166,26,C
1VX,LR00166,27,C
1VX,LR00166,28,C
1VX,LR00166,29,C
1VX,LR00166,30,C
1VX,LR00166,31,C
1VX,LR00166,32,O
1Y0,LR00597,0,C
1Y0,LR00597,1,N
1Y0,LR00597,2,C
1Y0,LR00597,3,C
1Y0,LR00597,4,C
1Y0,LR00597,5,O
1Y0,LR00597,6,N
1Y0,LR00597,7,C
